Planet Name,Kepler ID,Planet temp,Planet Radius,Transit duration,Period,a/R,Time of transit,r/R,Age,Stellar Mass,Stellar Radius,Stellar Teff,Logg,KEP Mag,g Mag,r Mag,i Mag,z Mag,KOI Vet Date
Kepler-143 b,11521793,772,2.22,1.258,16.008,32,142.637,0.019,4.8,1.008,1.06,6002,4.39,13.77,14.217,13.706,13.579,13.487,2013-12-19 00:00:00
Kepler-143 c,11521793,649,2.24,4.614,27.082,45,191.807,0.019,4.8,1.008,1.06,6002,4.39,13.77,14.217,13.706,13.579,13.487,2013-12-19 00:00:00
Kepler-144 b,7175184,1148,1.33,1.895,5.885,17.2,174.426,0.011,0.94,1.154,1.116,6377,4.41,11.992,12.282,11.944,11.868,11.872,2013-12-19 00:00:00
Kepler-144 c,7175184,959,1.26,2.398,10.105,25,135.557,0.01,0.94,1.154,1.116,6377,4.41,11.992,12.282,11.944,11.868,11.872,2013-12-19 00:00:00
Kepler-145 b,8494142,902,2.65,4.768,22.95,15.27,151.532,0.012,4.21,1.28,1.98,6022,3.95,11.931,12.239,11.897,11.799,11.759,2013-12-19 00:00:00
Kepler-145 c,8494142,732,4.32,9.898,42.883,23.17,203.647,0.02,4.21,1.28,1.98,6022,3.95,11.931,12.239,11.897,11.799,11.759,2013-12-19 00:00:00
Kepler-146 b,3656121,648,3.4,5.201,31.159,47,173.905,0.028,2.7,1.09,1.12,6212,4.38,13.838,14.25,13.796,13.661,13.6,2014-06-10 00:00:00
Kepler-146 c,3656121,481,3.1,5.894,76.732,85.8,200.675,0.025,2.7,1.09,1.12,6212,4.38,13.838,14.25,13.796,13.661,13.6,2014-06-10 00:00:00
Kepler-147 b,3942670,877,1.33,4.999,12.611,10.5,138.167,0.01,8.3,0.98,1.19,5894,4.27,13.954,14.443,13.891,13.745,13.686,2013-12-19 00:00:00
Kepler-147 c,3942670,634,2.27,7.613,33.418,20,171.323,0.017,8.3,0.98,1.19,5894,4.27,13.954,14.443,13.891,13.745,13.686,2013-12-19 00:00:00
Kepler-148 b,9946525,1249,1.65,1.739,1.729,7.55,133.817,0.019,11.2,0.777,0.78,5187,4.55,15.342,16.042,15.278,15.042,14.938,2014-06-10 00:00:00
Kepler-148 c,9946525,929,3.1,2.439,4.18,13.6,173.717,0.037,11.2,0.777,0.78,5187,4.55,15.342,16.042,15.278,15.042,14.938,2014-06-10 00:00:00
Kepler-149 b,3217264,700,7.23,5.141,29.199,41,185.441,0.042,14,0.909,1.58,5363,4,14.001,14.635,13.941,13.729,13.632,2014-06-10 00:00:00
Kepler-149 c,3217264,567,2.66,6.856,55.328,63,186.325,0.015,14,0.909,1.58,5363,4,14.001,14.635,13.941,13.729,13.632,2014-06-10 00:00:00
Kepler-149 d,3217264,397,7.31,5.643,160.017,127,251.285,0.042,14,0.909,1.58,5363,4,14.001,14.635,13.941,13.729,13.632,2014-06-10 00:00:00
Kepler-15 b,11359879,1097,11.97,3.382,4.943,10.34,136.329,0.101,2.1,1.127,1.09,5786,4.42,13.758,14.266,13.687,13.54,13.484,2013-12-19 00:00:00
Kepler-150 b,5351250,1192,1.3,2.337,3.428,10,132.355,0.013,3.5,0.97,0.94,5855,4.48,14.985,15.497,14.934,14.766,14.67,2013-12-19 00:00:00
Kepler-150 c,5351250,925,3.7,3.117,7.382,16.6,173.071,0.036,3.5,0.97,0.94,5855,4.48,14.985,15.497,14.934,14.766,14.67,2013-12-19 00:00:00
Kepler-150 d,5351250,772,2.9,3.787,12.561,23.7,166.797,0.028,3.5,0.97,0.94,5855,4.48,14.985,15.497,14.934,14.766,14.67,2013-12-19 00:00:00
Kepler-150 e,5351250,572,2.6,4.861,30.827,43,152.999,0.026,3.5,0.97,0.94,5855,4.48,14.985,15.497,14.934,14.766,14.67,2013-12-19 00:00:00
Kepler-151 b,5791986,638,2.8,2.589,15.229,35,176.559,0.032,4.6,0.86,0.81,5439,4.56,14.769,15.37,14.697,14.512,14.395,2013-12-19 00:00:00
Kepler-151 c,5791986,542,2.2,3.059,24.674,49,146.774,0.025,4.6,0.86,0.81,5439,4.56,14.769,15.37,14.697,14.512,14.395,2013-12-19 00:00:00
Kepler-152 b,6508221,556,3,3.802,18.208,32,185.842,0.037,0.8,0.832,0.73,5249,4.63,14.29,14.922,14.223,14.019,13.908,2014-06-10 00:00:00
Kepler-152 c,6508221,328,2.9,4.298,88.255,92,153.78,0.036,0.8,0.832,0.73,5249,4.63,14.29,14.922,14.223,14.019,13.908,2014-06-10 00:00:00
Kepler-153 b,10843590,632,3.2,3.122,18.87,39,178.71,0.032,13.8,0.82,0.91,5416,4.43,14.262,14.864,14.232,14.004,13.955,2013-12-19 00:00:00
Kepler-153 c,10843590,467,2.8,3.873,46.902,71,154.308,0.028,13.8,0.82,0.91,5416,4.43,14.262,14.864,14.232,14.004,13.955,2013-12-19 00:00:00
Kepler-154 b,11709124,565,2.2,3.2,33.04,81,161.224,0.022,,,0.932,,,14.534,14.981,14.489,14.342,14.282,2013-07-31 00:00:00
Kepler-154 c,11709124,437,2.475,7.319,62.303,62,179.098,0.027,,,0.832,5937,4.559,14.534,14.981,14.489,14.342,14.282,2014-06-10 00:00:00
Kepler-155 b,12302530,663,1.9,2.267,5.931,18.1,174.795,0.029,13.9,0.635,0.606,4526,4.68,14.258,15.231,14.163,13.841,13.617,2014-06-10 00:00:00
Kepler-155 c,12302530,319,2.29,3.208,52.662,78,183.517,0.035,13.9,0.635,0.606,4526,4.68,14.258,15.231,14.163,13.841,13.617,2014-06-10 00:00:00
Kepler-156 b,2438264,835,2.3,1.639,4.973,14,170.885,0.028,13.7,0.737,0.74,5031,4.57,14.172,14.897,14.104,13.861,13.726,2013-12-19 00:00:00
Kepler-156 c,2438264,569,2.2,3.937,15.907,30,177.932,0.027,13.7,0.737,0.74,5031,4.57,14.172,14.897,14.104,13.861,13.726,2013-12-19 00:00:00
Kepler-157 b,3745690,1512,1.16,2.175,1.732,6.2,134.536,0.012,0.3,1.028,0.92,5969,4.52,14.002,14.46,13.951,13.806,13.738,2013-12-19 00:00:00
Kepler-157 c,3745690,756,1.94,4.298,13.54,24.3,171.681,0.019,0.3,1.028,0.92,5969,4.52,14.002,14.46,13.951,13.806,13.738,2013-12-19 00:00:00
Kepler-158 b,4633570,486,1.86,2.731,16.709,38.2,174.754,0.027,13.9,0.655,0.628,4631,4.66,14.427,15.35,14.382,14.031,13.825,2013-12-19 00:00:00
Kepler-158 c,4633570,406,1.82,4.095,28.551,55,185.477,0.026,13.9,0.655,0.628,4631,4.66,14.427,15.35,14.382,14.031,13.825,2013-12-19 00:00:00
Kepler-159 b,5640085,544,2.21,2.72,10.14,20.5,178.449,0.034,13.7,0.628,0.597,4486,4.68,14.902,15.933,14.848,14.46,14.24,2013-12-19 00:00:00
Kepler-159 c,5640085,335,2.89,4.943,43.609,54,194.48,0.044,13.7,0.628,0.597,4486,4.68,14.902,15.933,14.848,14.46,14.24,2013-10-25 00:00:00
Kepler-16 b,12644769,,,,,,,,,,,,,,,,,,
Kepler-160 b,7269974,1091,1.66,3.127,4.309,6.8,134.032,0.017,1.6,0.993,0.92,5889,4.51,14.619,15.113,14.587,14.407,14.349,2013-12-19 00:00:00
Kepler-160 c,7269974,743,3.6,4.548,13.699,14.7,171.487,0.036,1.6,0.993,0.92,5889,4.51,14.619,15.113,14.587,14.407,14.349,2013-12-19 00:00:00
Kepler-161 b,7440748,813,1.84,1.896,4.921,19.6,174.299,0.024,1.3,0.783,0.69,5058,4.65,14.196,14.902,14.138,13.894,13.779,2013-12-19 00:00:00
Kepler-161 c,7440748,722,2,1.389,7.064,25,135.378,0.027,1.3,0.783,0.69,5058,4.65,14.196,14.902,14.138,13.894,13.779,2013-12-19 00:00:00
Kepler-162 b,7977197,962,1.34,3.339,6.92,13.8,134.122,0.013,5.6,0.953,0.98,5838,4.44,14.248,14.763,14.211,14.028,13.955,2013-12-19 00:00:00
