Planet Name,Kepler ID,KOI Name,Alt Name,RA (J2000),Dec (J2000),Planet temp,Planet Radius,Transit duration,Period,Impact Parameter,Inclination,Provenance,a/R,Transit Number,Transit Model,Time of transit,Transit Depth,Semi-major Axis,r/R,r/R err1,Age,Stellar Mass,Stellar Radius,Stellar Teff,Logg,KEP Mag,g Mag,r Mag,i Mag,z Mag,J Mag,H Mag,K Mag,KOI List,Last Update,KOI Vet Date
Kepler-422 b,9631995,K00022.01,Kepler-422 b,18 50 31.121,+46 19 24.10,976,11.27,3.793,7.891,0.172,89.38,SME,17.16,,Mandel and Agol (2002 ApJ 580 171),177.249,10348,0.081,0.093,0.00026,1.5,1.156,1.112,5972,4.41,13.435,13.832,13.376,13.265,13.235,12.357,12.126,12.041,YES,2014-10-02,2013-12-19 00:00:00
Kepler-423 b,9651668,K00183.01,Kepler-423 b,19 31 25.378,+46 23 28.24,1301,12.4,2.675,2.684,0.025,89.95,Pinsonneault,8.63,,Mandel and Agol (2002 ApJ 580 171),133.354,18148,0.038,0.122,0.00023,0.3,1.028,0.93,5976,4.52,14.29,14.729,14.225,14.102,14.028,13.142,12.847,12.779,YES,2014-10-02,2013-12-19 00:00:00
Kepler-424 b,11046458,K00214.01,Kepler-424 b,19 54 29.971,+48 34 38.82,1143,7.1,1.231,3.312,0.66,87.66,Pinsonneault,17.3,,Mandel and Agol (2002 ApJ 580 171),131.742,5350,0.041,0.071,0.003,12.2,0.837,0.92,5478,4.44,14.256,14.847,14.188,14.003,13.937,12.905,12.6,12.47,YES,2014-10-02,2013-12-19 00:00:00
Kepler-424 c,11046458,,Kepler-424 c,19 54 29.971,+48 34 38.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,2014-10-02,
Kepler-425 b,5357901,K00188.01,Kepler-425 b,19 21 25.928,+40 34 03.87,914,8.3,2.238,3.797,0.01,89.95,Pinsonneault,14.4,,Mandel and Agol (2002 ApJ 580 171),133.508,14553,0.044,0.107,0.00082,1.1,0.807,0.71,5152,4.64,14.741,15.416,14.65,14.452,14.339,13.376,12.931,12.806,YES,2014-10-02,2013-12-19 00:00:00
Kepler-426 b,11502867,K00195.01,Kepler-426 b,19 17 44.311,+49 28 24.24,1215,11.7,2.116,3.218,0.642,86.52,Pinsonneault,10.63,,Mandel and Agol (2002 ApJ 580 171),133.631,14393,0.042,0.116,0.00052,2.7,0.979,0.93,5866,4.5,14.835,15.329,14.779,14.624,14.549,13.624,13.23,13.212,YES,2014-10-02,2013-12-19 00:00:00
Kepler-427 b,7950644,K00192.01,Kepler-427 b,19 13 01.099,+43 42 17.52,898,10.1,4.266,10.291,0.025,89.95,Pinsonneault,20.1,,Mandel and Agol (2002 ApJ 580 171),137.021,9708,0.095,0.09,0.0004,0.8,1.1,1.03,6195,4.46,14.221,14.621,14.172,14.049,13.99,13.161,12.814,12.777,YES,2014-10-02,2013-12-19 00:00:00
Kepler-428 b,5358624,K00830.01,Kepler-428 b,19 22 19.614,+40 34 38.64,881,9.77,2.599,3.526,0.026,89.95,Pinsonneault,11.76,,Mandel and Agol (2002 ApJ 580 171),170.047,22473,0.042,0.133,0.00061,0.9,0.768,0.674,4988,4.67,15.224,15.961,15.142,14.908,14.758,13.767,13.295,13.234,YES,2014-10-02,2013-12-19 00:00:00
Kepler-429 b,10001893,,KIC 10001893 b,19 09 33.406,+46 59 04.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,2014-10-02,
Kepler-429 c,10001893,,KIC 10001893 c,19 09 33.406,+46 59 04.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,2014-10-02,
